year,importer1,importer2,flow1,flow2
2017,FJI,FRA,1,0
2017,BGD,FRA,1,0
2017,BEL,FRA,2,0
2017,LUX,FRA,1,106
2017,ISR,FRA,10,15
2017,TWN,FRA,2,1
2017,IDN,FRA,3,49
2017,GBR,FRA,58,96
2017,GHA,FRA,3,0
2017,KWT,FRA,2,0
2017,COK,FRA,3,1
2017,AIA,FRA,1,0
2017,PAN,FRA,1,17
2017,USA,FRA,2,5
2017,SGP,FRA,4,96
2017,MYS,FRA,2,6
2017,GGY,FRA,6,23
2017,NLD,FRA,1,7
2017,HKG,FRA,7,187
2017,SAU,FRA,3,0
2017,LBN,FRA,3,25
2017,SRB,FRA,2,0
2017,FRA,FRA,446,446
2017,CHE,FRA,11,322
2017,BLZ,FRA,6,2
2017,JEY,FRA,18,12
2017,VGB,FRA,9,558
2017,IMN,FRA,3,21
2017,AUS,FRA,3,0
2017,IRL,FRA,1,0
2017,CHN,FRA,4,16
2017,MLT,FRA,3,16
2017,THA,FRA,3,21
2017,NZL,FRA,2,0
2017,MCO,FRA,31,11
2017,ZAF,FRA,2,0
2017,OMN,FRA,4,0
2017,ITA,FRA,3,0
2017,VIR,FRA,2,0
2017,ARE,FRA,8,19
2017,LVA,FRA,1,0
2017,BHS,FRA,1,11
